alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
AF,AFG,4,ISO 3166-2:AF,Asia,Southern Asia,,142,34,
AX,ALA,248,ISO 3166-2:AX,Europe,Northern Europe,,150,154,
AL,ALB,8,ISO 3166-2:AL,Europe,Southern Europe,,150,39,
DZ,DZA,12,ISO 3166-2:DZ,Africa,Northern Africa,,2,15,
AS,ASM,16,ISO 3166-2:AS,Oceania,Polynesia,,9,61,
AD,AND,20,ISO 3166-2:AD,Europe,Southern Europe,,150,39,
AO,AGO,24,ISO 3166-2:AO,Africa,Sub-Saharan Africa,Middle Africa,2,202,17
AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29
AQ,ATA,10,ISO 3166-2:AQ,,,,,,
AG,ATG,28,ISO 3166-2:AG,Americas,Latin America and the Caribbean,Caribbean,19,419,29
AR,ARG,32,ISO 3166-2:AR,Americas,Latin America and the Caribbean,South America,19,419,5
AM,ARM,51,ISO 3166-2:AM,Asia,Western Asia,,142,145,
AW,ABW,533,ISO 3166-2:AW,Americas,Latin America and the Caribbean,Caribbean,19,419,29
AU,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,,9,53,
AT,AUT,40,ISO 3166-2:AT,Europe,Western Europe,,150,155,
AZ,AZE,31,ISO 3166-2:AZ,Asia,Western Asia,,142,145,
BS,BHS,44,ISO 3166-2:BS,Americas,Latin America and the Caribbean,Caribbean,19,419,29
BH,BHR,48,ISO 3166-2:BH,Asia,Western Asia,,142,145,
BD,BGD,50,ISO 3166-2:BD,Asia,Southern Asia,,142,34,
BB,BRB,52,ISO 3166-2:BB,Americas,Latin America and the Caribbean,Caribbean,19,419,29
BY,BLR,112,ISO 3166-2:BY,Europe,Eastern Europe,,150,151,
BE,BEL,56,ISO 3166-2:BE,Europe,Western Europe,,150,155,
BZ,BLZ,84,ISO 3166-2:BZ,Americas,Latin America and the Caribbean,Central America,19,419,13
BJ,BEN,204,ISO 3166-2:BJ,Africa,Sub-Saharan Africa,Western Africa,2,202,11
BM,BMU,60,ISO 3166-2:BM,Americas,Northern America,,19,21,
BT,BTN,64,ISO 3166-2:BT,Asia,Southern Asia,,142,34,
BO,BOL,68,ISO 3166-2:BO,Americas,Latin America and the Caribbean,South America,19,419,5
BQ,BES,535,ISO 3166-2:BQ,Americas,Latin America and the Caribbean,Caribbean,19,419,29
BA,BIH,70,ISO 3166-2:BA,Europe,Southern Europe,,150,39,
BW,BWA,72,ISO 3166-2:BW,Africa,Sub-Saharan Africa,Southern Africa,2,202,18
BV,BVT,74,ISO 3166-2:BV,Americas,Latin America and the Caribbean,South America,19,419,5
BR,BRA,76,ISO 3166-2:BR,Americas,Latin America and the Caribbean,South America,19,419,5
IO,IOT,86,ISO 3166-2:IO,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
BN,BRN,96,ISO 3166-2:BN,Asia,South-eastern Asia,,142,35,
BG,BGR,100,ISO 3166-2:BG,Europe,Eastern Europe,,150,151,
BF,BFA,854,ISO 3166-2:BF,Africa,Sub-Saharan Africa,Western Africa,2,202,11
BI,BDI,108,ISO 3166-2:BI,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
CV,CPV,132,ISO 3166-2:CV,Africa,Sub-Saharan Africa,Western Africa,2,202,11
KH,KHM,116,ISO 3166-2:KH,Asia,South-eastern Asia,,142,35,
CM,CMR,120,ISO 3166-2:CM,Africa,Sub-Saharan Africa,Middle Africa,2,202,17
CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,,19,21,
KY,CYM,136,ISO 3166-2:KY,Americas,Latin America and the Caribbean,Caribbean,19,419,29
CF,CAF,140,ISO 3166-2:CF,Africa,Sub-Saharan Africa,Middle Africa,2,202,17
TD,TCD,148,ISO 3166-2:TD,Africa,Sub-Saharan Africa,Middle Africa,2,202,17
CL,CHL,152,ISO 3166-2:CL,Americas,Latin America and the Caribbean,South America,19,419,5
CN,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,,142,30,
CX,CXR,162,ISO 3166-2:CX,Oceania,Australia and New Zealand,,9,53,
CC,CCK,166,ISO 3166-2:CC,Oceania,Australia and New Zealand,,9,53,
CO,COL,170,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19,419,5
KM,COM,174,ISO 3166-2:KM,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
CG,COG,178,ISO 3166-2:CG,Africa,Sub-Saharan Africa,Middle Africa,2,202,17
CD,COD,180,ISO 3166-2:CD,Africa,Sub-Saharan Africa,Middle Africa,2,202,17
CK,COK,184,ISO 3166-2:CK,Oceania,Polynesia,,9,61,
CR,CRI,188,ISO 3166-2:CR,Americas,Latin America and the Caribbean,Central America,19,419,13
CI,CIV,384,ISO 3166-2:CI,Africa,Sub-Saharan Africa,Western Africa,2,202,11
HR,HRV,191,ISO 3166-2:HR,Europe,Southern Europe,,150,39,
CU,CUB,192,ISO 3166-2:CU,Americas,Latin America and the Caribbean,Caribbean,19,419,29
CW,CUW,531,ISO 3166-2:CW,Americas,Latin America and the Caribbean,Caribbean,19,419,29
CY,CYP,196,ISO 3166-2:CY,Asia,Western Asia,,142,145,
CZ,CZE,203,ISO 3166-2:CZ,Europe,Eastern Europe,,150,151,
DK,DNK,208,ISO 3166-2:DK,Europe,Northern Europe,,150,154,
DJ,DJI,262,ISO 3166-2:DJ,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
DM,DMA,212,ISO 3166-2:DM,Americas,Latin America and the Caribbean,Caribbean,19,419,29
DO,DOM,214,ISO 3166-2:DO,Americas,Latin America and the Caribbean,Caribbean,19,419,29
EC,ECU,218,ISO 3166-2:EC,Americas,Latin America and the Caribbean,South America,19,419,5
EG,EGY,818,ISO 3166-2:EG,Africa,Northern Africa,,2,15,
SV,SLV,222,ISO 3166-2:SV,Americas,Latin America and the Caribbean,Central America,19,419,13
GQ,GNQ,226,ISO 3166-2:GQ,Africa,Sub-Saharan Africa,Middle Africa,2,202,17
ER,ERI,232,ISO 3166-2:ER,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
EE,EST,233,ISO 3166-2:EE,Europe,Northern Europe,,150,154,
SZ,SWZ,748,ISO 3166-2:SZ,Africa,Sub-Saharan Africa,Southern Africa,2,202,18
ET,ETH,231,ISO 3166-2:ET,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
FK,FLK,238,ISO 3166-2:FK,Americas,Latin America and the Caribbean,South America,19,419,5
FO,FRO,234,ISO 3166-2:FO,Europe,Northern Europe,,150,154,
FJ,FJI,242,ISO 3166-2:FJ,Oceania,Melanesia,,9,54,
FI,FIN,246,ISO 3166-2:FI,Europe,Northern Europe,,150,154,
FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,,150,155,
GF,GUF,254,ISO 3166-2:GF,Americas,Latin America and the Caribbean,South America,19,419,5
PF,PYF,258,ISO 3166-2:PF,Oceania,Polynesia,,9,61,
TF,ATF,260,ISO 3166-2:TF,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
GA,GAB,266,ISO 3166-2:GA,Africa,Sub-Saharan Africa,Middle Africa,2,202,17
GM,GMB,270,ISO 3166-2:GM,Africa,Sub-Saharan Africa,Western Africa,2,202,11
GE,GEO,268,ISO 3166-2:GE,Asia,Western Asia,,142,145,
DE,DEU,276,ISO 3166-2:DE,Europe,Western Europe,,150,155,
GH,GHA,288,ISO 3166-2:GH,Africa,Sub-Saharan Africa,Western Africa,2,202,11
GI,GIB,292,ISO 3166-2:GI,Europe,Southern Europe,,150,39,
GR,GRC,300,ISO 3166-2:GR,Europe,Southern Europe,,150,39,
GL,GRL,304,ISO 3166-2:GL,Americas,Northern America,,19,21,
GD,GRD,308,ISO 3166-2:GD,Americas,Latin America and the Caribbean,Caribbean,19,419,29
GP,GLP,312,ISO 3166-2:GP,Americas,Latin America and the Caribbean,Caribbean,19,419,29
GU,GUM,316,ISO 3166-2:GU,Oceania,Micronesia,,9,57,
GT,GTM,320,ISO 3166-2:GT,Americas,Latin America and the Caribbean,Central America,19,419,13
GG,GGY,831,ISO 3166-2:GG,Europe,Northern Europe,Channel Islands,150,154,830
GN,GIN,324,ISO 3166-2:GN,Africa,Sub-Saharan Africa,Western Africa,2,202,11
GW,GNB,624,ISO 3166-2:GW,Africa,Sub-Saharan Africa,Western Africa,2,202,11
GY,GUY,328,ISO 3166-2:GY,Americas,Latin America and the Caribbean,South America,19,419,5
HT,HTI,332,ISO 3166-2:HT,Americas,Latin America and the Caribbean,Caribbean,19,419,29
HM,HMD,334,ISO 3166-2:HM,Oceania,Australia and New Zealand,,9,53,
VA,VAT,336,ISO 3166-2:VA,Europe,Southern Europe,,150,39,
HN,HND,340,ISO 3166-2:HN,Americas,Latin America and the Caribbean,Central America,19,419,13
HK,HKG,344,ISO 3166-2:HK,Asia,Eastern Asia,,142,30,
HU,HUN,348,ISO 3166-2:HU,Europe,Eastern Europe,,150,151,
IS,ISL,352,ISO 3166-2:IS,Europe,Northern Europe,,150,154,
IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,,142,34,
ID,IDN,360,ISO 3166-2:ID,Asia,South-eastern Asia,,142,35,
IR,IRN,364,ISO 3166-2:IR,Asia,Southern Asia,,142,34,
IQ,IRQ,368,ISO 3166-2:IQ,Asia,Western Asia,,142,145,
IE,IRL,372,ISO 3166-2:IE,Europe,Northern Europe,,150,154,
IM,IMN,833,ISO 3166-2:IM,Europe,Northern Europe,,150,154,
IL,ISR,376,ISO 3166-2:IL,Asia,Western Asia,,142,145,
IT,ITA,380,ISO 3166-2:IT,Europe,Southern Europe,,150,39,
JM,JAM,388,ISO 3166-2:JM,Americas,Latin America and the Caribbean,Caribbean,19,419,29
JP,JPN,392,ISO 3166-2:JP,Asia,Eastern Asia,,142,30,
JE,JEY,832,ISO 3166-2:JE,Europe,Northern Europe,Channel Islands,150,154,830
JO,JOR,400,ISO 3166-2:JO,Asia,Western Asia,,142,145,
KZ,KAZ,398,ISO 3166-2:KZ,Asia,Central Asia,,142,143,
KE,KEN,404,ISO 3166-2:KE,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
KI,KIR,296,ISO 3166-2:KI,Oceania,Micronesia,,9,57,
KP,PRK,408,ISO 3166-2:KP,Asia,Eastern Asia,,142,30,
KR,KOR,410,ISO 3166-2:KR,Asia,Eastern Asia,,142,30,
KW,KWT,414,ISO 3166-2:KW,Asia,Western Asia,,142,145,
KG,KGZ,417,ISO 3166-2:KG,Asia,Central Asia,,142,143,
LA,LAO,418,ISO 3166-2:LA,Asia,South-eastern Asia,,142,35,
LV,LVA,428,ISO 3166-2:LV,Europe,Northern Europe,,150,154,
LB,LBN,422,ISO 3166-2:LB,Asia,Western Asia,,142,145,
LS,LSO,426,ISO 3166-2:LS,Africa,Sub-Saharan Africa,Southern Africa,2,202,18
LR,LBR,430,ISO 3166-2:LR,Africa,Sub-Saharan Africa,Western Africa,2,202,11
LY,LBY,434,ISO 3166-2:LY,Africa,Northern Africa,,2,15,
LI,LIE,438,ISO 3166-2:LI,Europe,Western Europe,,150,155,
LT,LTU,440,ISO 3166-2:LT,Europe,Northern Europe,,150,154,
LU,LUX,442,ISO 3166-2:LU,Europe,Western Europe,,150,155,
MO,MAC,446,ISO 3166-2:MO,Asia,Eastern Asia,,142,30,
MG,MDG,450,ISO 3166-2:MG,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
MW,MWI,454,ISO 3166-2:MW,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
MY,MYS,458,ISO 3166-2:MY,Asia,South-eastern Asia,,142,35,
MV,MDV,462,ISO 3166-2:MV,Asia,Southern Asia,,142,34,
ML,MLI,466,ISO 3166-2:ML,Africa,Sub-Saharan Africa,Western Africa,2,202,11
MT,MLT,470,ISO 3166-2:MT,Europe,Southern Europe,,150,39,
MH,MHL,584,ISO 3166-2:MH,Oceania,Micronesia,,9,57,
MQ,MTQ,474,ISO 3166-2:MQ,Americas,Latin America and the Caribbean,Caribbean,19,419,29
MR,MRT,478,ISO 3166-2:MR,Africa,Sub-Saharan Africa,Western Africa,2,202,11
MU,MUS,480,ISO 3166-2:MU,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
YT,MYT,175,ISO 3166-2:YT,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
MX,MEX,484,ISO 3166-2:MX,Americas,Latin America and the Caribbean,Central America,19,419,13
FM,FSM,583,ISO 3166-2:FM,Oceania,Micronesia,,9,57,
MD,MDA,498,ISO 3166-2:MD,Europe,Eastern Europe,,150,151,
MC,MCO,492,ISO 3166-2:MC,Europe,Western Europe,,150,155,
MN,MNG,496,ISO 3166-2:MN,Asia,Eastern Asia,,142,30,
ME,MNE,499,ISO 3166-2:ME,Europe,Southern Europe,,150,39,
MS,MSR,500,ISO 3166-2:MS,Americas,Latin America and the Caribbean,Caribbean,19,419,29
MA,MAR,504,ISO 3166-2:MA,Africa,Northern Africa,,2,15,
MZ,MOZ,508,ISO 3166-2:MZ,Africa,Sub-Saharan Africa,Eastern Africa,2,202,14
MM,MMR,104,ISO 3166-2:MM,Asia,South-eastern Asia,,142,35,
NA,NAM,516,ISO 3166-2:NA,Africa,Sub-Saharan Africa,Southern Africa,2,202,18
NR,NRU,520,ISO 3166-2:NR,Oceania,Micronesia,,9,57,
NP,NPL,524,ISO 3166-2:NP,Asia,Southern Asia,,142,34,
NL,NLD,528,ISO 3166-2:NL,Europe,Western Europe,,150,155,
NC,NCL,540,ISO 3166-2:NC,Oceania,Melanesia,,9,54,
NZ,NZL,554,ISO 3166-2:NZ,Oceania,Australia and New Zealand,,9,53,
NI,NIC,558,ISO 3166-2:NI,Americas,Latin America and the Caribbean,Central America,19,419,13
NE,NER,562,ISO 3166-2:NE,Africa,Sub-Saharan Africa,Western Africa,2,202,11
NG,NGA,566,ISO 3166-2:NG,Africa,Sub-Saharan Africa,Western Africa,2,202,11
